№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
46,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Айтей,Тургунбаев Т,,Автомобиль Шевролет Кобальт Елегент белый 091ВН05. 2025 гв,091ВН05,
47,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Алмалыбак,Кынбаев Б,,Автомобиль Шевролет Кобальт Елегент белый 078ВН05. 2025 гв,078ВН05,
48,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №17894 от 07.09.2020 г. Договор №СКТ-19 от 12.08.2020 г,ВА Асыл Арман,,,Автомобиль Chevrolet Damas DLX  (484ВА05).  2020 гв,484ВА05,
49,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Асыл Арман,Киинбаев Дж,,Автомобиль Шевролет Кобальт Елегент белый 123ВН05    2025 гв,123ВН05,
50,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ВА Бекболат,Айнабеков М,,Chevrolet Cobalt Optimum AT Gaz  476ВС05    2024 гв,476ВС05,
51,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ВА Жамбыл,Таскулов Т.С.,,Chevrolet Cobalt Optimum AT Gaz  042ВС05   2024 гв,042ВС05,
52,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Жана Турмыс,Махмудов,,Автомобиль Шевролет Кобальт Елегент белый 067ВН05    2025 гв,067ВН05,
53,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Жандосова,Торкымбеков Б,,Автомобиль Шевролет Кобальт Елегент белый 127ВН05.  2025 гв,127ВН05,
54,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Иргели,Бейсенбаев,,Автомобиль Шевролет Кобальт Елегент белый 079ВН05.  2025 гв,079ВН05,
55,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ВА Коксай,Сейлханов Е,,Chevrolet Cobalt Optimum AT Gaz   043ВС05.  2024 гв,043ВС05,
56,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Кошмамбет,Бедельбаев Е,,Автомобиль Шевролет Кобальт Елегент белый 122ВН05. 2025 гв,122ВН05,
57,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00056232 от 15.06.2022 г,ВА Мерей,Какешев Е,,ВАЗ НИВА21214 -107 692AA05.  2013 гв,692AA05,
58,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ВА Райымбек,Корчагин В,,Chevrolet Cobalt Optimum AT Gaz  319ВС05.  2024  гв,319ВС05,
59,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,ВА Улан,Курмангалиев А.А.,,Автомобиль Шевролет Кобальт Елегент белый 304ВН05.  2025 гв,304ВН05,
60,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00052004 от 29.06.2022 г,ВА Шалкар,Туменбаев А.Т.,,LADA 21214    -029ZC05.   2012 гв,029ZC05,
61,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00056249 от 15.06.2022 г,ВА Шалкар,Туменбаев А.Т.,,LADA XWW 21214  195ZC05.   2012 гв,195ZC05,
62,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00056212 от 15.06.2022 г,Инфекционная больница,Гусейнов Ж,,Lada 21713  912 АС О5.   2014 гв,912АСО5,
63,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ПМСП Елтай,Ныкшаев С,,Chevrolet Cobalt Optimum AT Gaz   012ВС05.  2024 гв,012ВС05,
64,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №51 от 12.07.2024 г. Договор №380 от 10.07.2024 г,ПМСП НовоШамалган,Макажанов Ж,,Chevrolet Cobalt Optimum AT Gaz  147ВС05.   2024 гв,147ВС05,
65,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №SP-C-2159 от 04.04.2025 г. Договор №204 от 19.03.2025 г,СБ.с.Шамалган,Калиев А,,Автомобиль Шевролет Кобальт Елегент белый 073ВН05.  2025 гв,073ВН05,
66,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №375 от 06.12.2023 г. Договор №425 от 14.11.2023 г,ЦРБ,Кузембаев Ж,,Chevrolet Lacetti CDX 2023- 644AJ05.   2023 гв,644AJ05,
67,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №375 от 06.12.2023 г. Договор №425 от 14.11.2023 г,ЦРБ,Сисатов С,,Chevrolet Lacetti CDX 2023- 670AJ05.   2023 гв,670AJ05,
68,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №375 от 06.12.2023 г. Договор №425 от 14.11.2023 г,ЦРБ,Мантаев С,,Chevrolet Lacetti CDX 2023- 688AJ05.   2023 гв,688AJ05,
69,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00055068 от 17.05.2022 г,ЦРБ,Нұрімбек С,,Автомашина Skoda Superb B6   871ZA05.     2022 гв,871ZA05,
70,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №17709 от 12.07.2024 г. Договор №791/48 от 27.07.2020 г,ЦРБ,Баймурзаев,,Автомобиль Chevrolet Damas DLX (464ВА05).   2020 гв,464ВА05,
71,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №17709 от 12.07.2024 г. Договор №791/48 от 27.07.2020 г,ЦРБ,Рахимбаев Т,,Автомобиль Chevrolet Damas DLX желтый (753AW05).   2020 гв,753AW05,
72,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Техпаспорт №АР00056206 от 15.06.2022 г,ЦРБ,Картбаев У,,Автомобиль KIA Sportage Luxe 2.0 MT 4WD (14MY) 030AN05.    2016 гв,030AN05,
73,Алматинская область Карасайский район г.Каскелен,"КГП на ПХВ ""Карасайская КМЦРБ""","КГП на ПХВ ""Карасайская КМЦРБ""",Накладная №9 от 13.03.2025 г. Договор №187 от 11.03.2025 г,ЦРБ,Окроперидзе В,,Автомобиль легковой KIA K5 Comfort 141ВН05.   2025 гв,141ВН05,
74,Алматинская область Илийский район село Отеген батыр,"ГКП на ПХВ ""Областная детская клиническая больница""",на балансе,"Технический паспорт №80006552 от 04.01.2018 год выпуска 2017,КУЗОВ№322114Н00003769, шасси № Х06322140Н0836050","ГКП на ПХВ ""Областная детская клиническая больница""",Досымжанов Б.Д,№200 ө/1 от 01.08.2025,ГАЗ 174200,102АТ05,
75,Алматинская область Илийский район село Отеген батыр,"ГКП на ПХВ ""Областная детская клиническая больница""",на балансе,"Технический паспорт №80003833 от 18.12.2014 год выпуска 2014,двигатель №KMJWA37RAEU605738, шасси № H.У","ГКП на ПХВ ""Областная детская клиническая больница""",Досымжанов Б.Д,№200 ө/1 от 01.08.2025,Санитарный автотранспорт на базе микроавтобуса HYUNDAI H-1,872AL05,Документы готовятся к списанию
76,Алматинская область Илийский район село Отеген батыр,"ГКП на ПХВ ""Областная детская клиническая больница""",на балансе,"Технический паспорт №80006552 от 04.01.2018 год выпуска 2012,двигатель №409100С3025760, шасси № 374100С0481201","ГКП на ПХВ ""Областная детская клиническая больница""",Досымжанов Б.Д,№200 ө/1 от 01.08.2025,УАЗ 396295,В234DH,Документы готовятся к списанию
77,Алматинская область Илийский район село Отеген батыр,"ГКП на ПХВ ""Областная детская клиническая больница""",на балансе,"Технический паспорт № 80002832 от 03.10.2012год выпуска 2012,","ГКП на ПХВ ""Областная детская клиническая больница""",Досымжанов Б.Д,№200 ө/1 от 01.08.2025,Lada 21214,В484DH,Документы готовятся к списанию
78,Алматинская область,"КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""","КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""","Постановление акима Алматинской области №467 от 28.12.2023г -Skoda Super B6,","КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""","Махмутов Ж.К., Жумаходжа А.",№67-Н и 05.01.2026г.,Skoda Super B6 2013г,576АК05,
79,Алматинская область,"КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""","КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""",,"КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""",Коробейников О.А.,,Datsun On-do  2015 г,445АТ05,
80,Алматинская область,"КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""","КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""",,"КГП на ПХВ ""Енбекшиказахская РБ№1 с.Шелек""",Коробейников О.А.,,ВАЗ 21213 (Нива)  2006 г,В178BN,
81,"Алматинская область,Райымбекский район,с.Нарынкол","КГП на ПХВ ""Райымбеская районная больница"" ГУ ""УЗ Алматинской области""","КГП на ПХВ ""Райымбеская районная больница"" форма владения-на балансе",№250217/00/1 от 09.12.2025 г.,Райымбекская районная больница,Муслимов Санат Жанболатович,Приказ №813 от 22.12.2025 год,"Kia Sorento,2025",591BI05,Автомобили были приобретены в декабре 2025 года
82,"Алматинская область, Уйгурский район, село Чунджа улица Е7Джувашева 65","ГКП на ПХВ ""Уйгурская ЦРБ""",на балансе медицинской организации,№BW00008291 от 30.10.2020 года,"ГКП на ПХВ ""Уйгурская ЦРБ""",ЖАНАСБАЕВ НУРЖАН  ОРАШЕВИЧ,№26-Ж/Қ от 05.02.2025г,"Skoda Оctavia А7, 
2014 года выпуска",645AY05,
83,"Алматинская область, город Талгар","КГП на ПХВ ""Талгарский высший медицинский колледж"" ГУ ""Управление здравоохранения Алматинской области""","КГП на ПХВ ""Талгарский высший медицинский колледж"" ГУ ""Управление здравоохранения Алматинской области""",BA66031051,Водитель колледжа,Ыбраймов Д. Водитель,-,"Hyundai Accent, 2014",616AL05,
84,"Алматинская область, город Талгар","КГП на ПХВ ""Талгарский высший медицинский колледж"" ГУ ""Управление здравоохранения Алматинской области""","КГП на ПХВ ""Талгарский высший медицинский колледж"" ГУ ""Управление здравоохранения Алматинской области""",BA6603152,Директор,Кудабаев Б.А. Директор,-,"Hyundai Accent, 2014",617AL05,
85,Город,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области","На балансе              ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",Акт приема передачи №388 - Н от 05.01.2023год. Номер тех паспорта KIA Cerato-АР00067812 13.03.23 г. ВАЗ  21214 - АР00066890 16.02.2023г.  УАЗ 390944 - АР00067808 13.03.2023г.  Нyundai H-1 - АР00067809  13.03.2023г.,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",водитель - Кадирбеков Мейрамхан Зарыкбаевич,Приказ №112- Ж 21.04.2025 год,Автомашина KIA Cerato- 2014 г,255AJ05,
86,Город,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области","На балансе              ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,,Автомобиль ВАЗ  21214  - 2013 г,355AC05,
87,Город,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области","На балансе              ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,,Автомобиль УАЗ 390944 - 2008 г,234AJ05,
88,Город,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области","На балансе              ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,"ГКП на ПХВ ""Областной центр крови"" УЗ Алматинской области",,,Санитарная машина Нyundai H-1             2014 г,257AJ05,
89,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №66024117,"ГКП на ПХВ ""Талгарская ЦРБ""",не рабочее,не рабочее,Skoda Superb B6 Active 2.0 AT  (2014г),423АН05,ремонт нецелесообразен
90,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №660228854,"ГКП на ПХВ ""Талгарская ЦРБ""",Байболов М.Т.,Приказ ОК №281 от 01.04.2024г.,Автомобиль LADA 21214-187 (2013),043АС05,
91,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №66018057,"ГКП на ПХВ ""Талгарская ЦРБ""",Колесниченко С.С.,Приказ ОК №244 от 08.04.2025г.,ВАЗ -21214  (2008г),В054CD,
92,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №66027124,"ГКП на ПХВ ""Талгарская ЦРБ""",Аркаров Е.О.,Приказ ОК №Z00000246  от 01.04.2022г.,Ваз 21213 (2007),140АХ05,
93,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №66012377,"ГКП на ПХВ ""Талгарская ЦРБ""",Базирбаев А.М.,Приказ ОК №Z00000310  от 01.04.2022г.,Ваз 21213 (2005),B766AS,
94,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",,"ГКП на ПХВ ""Талгарская ЦРБ""",,,Ваз 21213 (2006),B808BN,"Угон ,Справка  от РУВД от 26.12.2007 г."
95,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №01000226,"ГКП на ПХВ ""Талгарская ЦРБ""",Тебериков Р.Б.,Приказ ОК №Z00000281  от 01.04.2022г.,Ваз 21214  (2008г),B006BV,
96,"Алматинская область,г.Талгар","ГКП на ПХВ ""Талгарская ЦРБ""","ГКП на ПХВ ""Талгарская ЦРБ""",Технический паспорт ВА №66022045,"ГКП на ПХВ ""Талгарская ЦРБ""",Ерболатов Н.О.,Приказ ОК №Z00001158  от 21.11.2022г.,Лада 21214 (2012),В022DA,
Подведомственные организации УПИИР,,,,,,,,,,
1,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",куплен через портал ГЗ тех/паспорт № АР99989344,"ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",Ген. директор Шокаев Е. Н. / водитель Керімқұл Ш. Т.,Приказ 52 от 04.05.2026,Tank 500,363AZ05,
2,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",передан по акту от ГУ тех/паспорт №ВС99999579,"ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",водитель Тохтарбай Е Н,,Kia KH QUORIS,716BF05,
3,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",куплен через портал ГЗ тех/паспорт № АР99870398,"ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",Құмарғали Мағжан Ғалымжанұлы,Приказ 74 от 01.06.2025,Chevrolet Monza,453BG05,
4,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",куплен через портал ГЗ тех/паспорт № АР99870416,"ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",Мукишев Н М,Приказ 68 от 19.06.26,Chevrolet Monza,458BG05,
5,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",куплен через портал ГЗ тех/паспорт № АР99861285,"ТОО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНДУСТРИАЛЬНЫХ ЗОН АЛМАТИНСКОЙ ОБЛАСТИ""",Ибрагимов Жомарт Максутович,приказ 87 от 15.12.26,Пикап MITSUBISHI L200,229BG05,
6,г.Қонаев,"ГУ ""Управление предпринимательства и индустриально-инновационного развития Алматинской области""","Подведомственная организация ТОО ""Региональный центр развития Алматинской области""/баланс",Технический паспорт ТС №BC99999398 от 01.11.2024,"ТОО ""Региональный центр развития Алматинской области""",Руководитель АХО/Абуов Ильяс Саматович,,Hyundai H1/2018 г.в. обьем двигателя 2.5 л. дизель,450AS05,Транспортное средство имеет высокую степень износа основных узлов и агрегатов
Подведомственные организации в сфере Социальной защиты,,,,,,,,,,
1,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",Приказ №130-1-Н от 20.05.2026,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","Директор Бақыт Т.Б, водитель 0,5 ставка Бугачеев У",Приказ №130-1-Н от 20.05.2026,Kia Sportage (2020 г),247BE05,
2,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Даукенов Е,Приказ №130-1-Н от 20.05.2026,УАЗ-220695-332-04 (2013 г),126AU05,
3,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Нуржанов Т,Приказ №130-1-Н от 20.05.2026,УАЗ-396295-338 (2013 г),571AU05,
4,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Сарыбаев Б,Приказ №130-1-Н от 20.05.2026,ГАЗ-32212 (2019 г),575AW05,
5,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Нуржанов Т,Приказ №130-1-Н от 20.05.2026,газ 330720 (2007 г),562AU05,
6,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Айменов А,Приказ №130-1-Н от 20.05.2026,JAC M4 (2024 г),507BF05,
7,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,спецавтотранспорт водтель Бугачеев У,Приказ №130-1-Н от 20.05.2026,Hyundai Staria (2025 г ),792BH05,
8,Алматинская область,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат ""","КГУ ""Есикский центр оказания специальных соц услуг ""Аманат "" форма владения-баланс",,"КГУ ""Есикский центр оказания специальных соц услуг ""Аманат """,,Приказ №130-1-Н от 20.05.2026,Hyundai SantaFe (2024 г ),770BH05,
9,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Акниет""","КГУ ""Талгарский центр оказания специальных соц услуг""Акниет"" форма владения-баланс",BA №66029690 от 30.11.2018г.,"Коммунальное государственное учреждение ""Талгарский центр оказания специальных социальных услуг ""Ақ ниет""",Фаткуллин Валерий Ходжиевич -водитель,Нет,Автомобиль KIA New Sportage - 2018г.,520AY05,
10,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Акниет""","КГУ ""Талгарский центр оказания специальных соц услуг""Акниет"" форма владения-баланс",BA №66029129 от 04.09.2018г.,"Коммунальное государственное учреждение ""Талгарский центр оказания специальных социальных услуг ""Ақ ниет""",Фаткуллин Валерий Ходжиевич -водитель,Нет,Микроавтобус  УАЗ - 396295-456  -2017г.,984AY05,
11,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Акниет""","КГУ ""Талгарский центр оказания специальных соц услуг""Акниет"" форма владения-баланс",BL № 01000411 от 15.03.2017г.,"Коммунальное государственное учреждение ""Талгарский центр оказания специальных социальных услуг ""Ақ ниет""",Бахалов Магомед Джавитович -водитель,Нет,Микроавтобус Hyundai H1  -2010г.,987AR05,
12,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Акниет""","КГУ ""Талгарский центр оказания специальных соц услуг""Акниет"" форма владения-баланс",BL № 01000410 от 15.03.2017г.,"Коммунальное государственное учреждение ""Талгарский центр оказания специальных социальных услуг ""Ақ ниет""",Бахалов Магомед Джавитович -водитель,Нет,Автобус - Daewoo BS090  (29+1мест)  -2012г.,391АU05,
13,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""","КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""форма владения-баланс",Свидетельство о регистрации ВА № 66029120 от 28.08.2018г,"КГУ ""Талгарский центр оказания специальных социальных услуг ""Аяла""","Бекешев Д, водитель 0,5 ст Имадиев М.Н. Водитель 0,5ст",01.04.2026г приказ №68-Ө,"УАЗ 374195 05, 2018 г",941AY05,"Балансовая стоимость уже равна нулю за счет амортизации, поэтому оформляется сам факт снятия актива с баланса"
14,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""","КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""форма владения-баланс",Свидетельство о регистрации ВL № 01000388 от 07.10.2016г,"КГУ ""Талгарский центр оказания специальных социальных услуг ""Аяла""","Альмесов Б, водитель 1ст",01.04.2026г приказ №68-Ө,"Hyundai H1 2,4 Мт, 2010 г",978AR05,"Балансовая стоимость уже равна нулю за счет амортизации, поэтому оформляется сам факт снятия актива с баланса"
15,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""","КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""форма владения-баланс",Свидетельство о регистрации AP00022432 от 15.11.2019г,"КГУ ""Талгарский центр оказания специальных социальных услуг ""Аяла""","Бекешев Д, водитель 0,5 ст;  Альмесов Б, водитель 0,5ст",01.04.2026г приказ №68-Ө,"ГАЗ A63r45,  2019г",069LC05,
16,Алматинская область,"КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""","КГУ ""Талгарский центр оказания специальных соц услуг""Аяла""форма владения-баланс",Свидетельство о регистрации BA66030074 от 05.02.2019г,"КГУ ""Талгарский центр оказания специальных социальных услуг ""Аяла""","Жакыпбеков Бакыт Камалбекович, водитель 0,5ст",01.04.2026г приказ №68-Ө,"KIA Cerato,  2007г",744AS05,"Балансовая стоимость уже равна нулю за счет амортизации, поэтому оформляется сам факт снятия актива с баланса"
